BfS-ID,Population,PopulationDensity,Age0-19,Age20-64,Age65+,Worker,Workplaces;
1,1955,247,21.6,63.0,15.3,446,135;
2,11276,1063,21.0,63.0,15.9,5969,890;
3,5205,701,24.6,62.3,13.1,973,265;
4,3376,248,23.0,61.4,15.6,967,243;
5,3511,538,24.1,62.1,13.8,1532,197;
6,922,117,24.9,61.2,13.9,258,91;
7,1982,306,23.2,62.5,14.3,482,118;
8,641,137,24.6,60.2,15.1,133,47;
9,4420,340,22.7,63.0,14.3,1527,276;
10,4833,640,23.4,61.6,15.0,1237,299;
11,2480,495,21.2,63.5,15.3,775,168;
12,957,147,26.4,60.8,12.7,252,81;
13,3309,275,20.3,64.5,15.1,871,183;
14,4579,1218,21.7,57.9,20.4,949,270;
21,561,85,19.3,63.3,17.5,174,60;
22,823,145,19.3,66.8,13.9,248,74;
23,587,84,16.7,64.9,18.4,164,59;
24,899,88,25.1,62.5,12.3,184,64;
25,1960,723,25.2,57.7,17.1,409,102;
26,634,114,24.6,61.0,14.4,185,44;
27,3464,1397,20.0,63.4,16.7,1058,163;
28,1331,131,22.2,61.7,16.1,731,139;
29,1414,584,21.4,62.4,16.2,483,110;
30,2063,307,22.5,58.2,19.2,1339,178;
31,2254,741,25.6,58.7,15.7,586,113;
32,483,131,26.3,54.2,19.5,172,34;
33,2013,195,23.2,61.6,15.2,946,178;
34,1558,248,21.1,58.2,20.8,362,88;
35,1968,139,21.5,62.9,15.6,1027,196;
36,1130,120,22.1,61.2,16.7,401,106;
37,1348,103,24.3,59.1,16.5,484,110;
38,1345,151,19.9,63.1,17.0,439,69;
39,899,139,24.1,62.1,13.8,242,65;
40,988,104,19.2,61.4,19.3,322,95;
41,464,105,26.3,57.8,15.9,89,40;
42,867,120,25.4,58.2,16.4,398,85;
43,310,97,25.5,61.3,13.2,114,28;
44,675,93,23.3,61.8,15.0,241,78;
51,4019,932,21.7,61.6,16.6,1809,250;
52,11243,1246,21.5,65.1,13.4,3769,559;
53,17975,1117,20.5,63.9,15.6,10160,1148;
54,7170,1691,20.1,61.4,18.5,5717,513;
55,4709,520,22.3,63.5,14.2,1226,286;
56,8986,708,22.1,64.4,13.5,3447,467;
57,2317,276,21.5,63.6,14.9,599,152;
58,4550,369,22.2,64.9,12.9,884,218;
59,2022,328,24.1,63.6,12.4,392,86;
60,2619,548,22.5,64.5,13.1,1133,177;
61,1000,204,22.7,61.7,15.6,249,72;
62,18402,955,18.5,65.0,16.5,35267,1430;
63,1833,353,24.7,64.3,11.0,327,103;
64,5274,526,19.4,62.2,18.4,958,300;
65,1030,100,19.6,64.6,15.8,234,86;
66,16116,2883,19.2,67.6,13.3,20605,1150;
67,4098,383,23.3,62.2,14.5,1338,240;
68,2501,566,23.2,65.7,11.2,453,145;
69,14188,2207,18.8,64.5,16.7,15741,1260;
70,547,138,19.4,66.2,14.4,69,34;
71,1298,145,20.2,63.9,15.9,487,113;
72,4088,503,18.6,65.4,15.9,845,230;
81,574,63,17.2,66.4,16.4,263,56;
82,1276,322,24.3,60.0,15.8,213,82;
83,6068,1039,21.9,68.3,9.8,2280,264;
84,3733,830,21.4,64.3,14.2,2740,267;
85,1928,672,22.6,67.4,10.0,456,105;
86,5790,988,20.0,66.1,13.9,3716,398;
87,669,421,18.5,66.8,14.6,125,38;
88,3029,502,17.2,67.7,15.1,638,243;
89,4580,1269,21.8,64.5,13.7,1344,221;
90,8723,773,22.9,63.9,13.3,2308,423;
91,2760,403,25.3,62.9,11.8,914,151;
92,6063,735,23.6,66.4,10.0,1213,271;
93,1754,354,22.2,65.6,12.1,273,86;
94,2755,384,23.6,62.3,14.2,2875,245;
95,491,207,22.4,61.7,15.9,180,37;
96,16975,1161,21.4,63.3,15.3,10555,1178;
97,7019,564,19.9,65.3,14.8,5594,661;
98,718,126,23.4,64.3,12.3,133,63;
99,1375,343,21.4,60.4,18.3,367,90;
100,2015,156,21.9,63.2,14.9,550,153;
101,3279,349,18.4,64.4,17.2,740,216;
102,1083,113,19.7,66.8,13.6,227,78;
111,4934,222,22.2,61.8,16.0,1390,377;
112,6854,591,23.2,61.1,15.7,3126,515;
113,7164,701,23.5,61.7,14.9,1880,400;
114,2329,77,25.6,61.5,12.9,770,210;
115,9725,532,22.5,61.4,16.0,2696,613;
116,3229,367,21.5,63.0,15.6,1584,250;
117,10615,476,20.8,61.6,17.6,6593,790;
118,11968,1190,20.2,62.8,17.0,4472,819;
119,1305,346,21.4,63.1,15.6,450,100;
120,9343,370,21.2,62.6,16.2,3459,654;
121,23274,1389,20.3,63.7,16.0,13115,1705;
131,18037,2321,19.1,62.6,18.3,7590,969;
132,2134,220,24.7,58.9,16.4,603,195;
133,19282,913,20.2,61.5,18.3,9348,1123;
134,897,123,26.1,59.0,14.9,239,91;
135,7675,2975,19.5,60.3,20.2,3836,528;
136,7254,837,20.7,58.7,20.7,1568,360;
137,4979,1785,19.1,57.8,23.1,951,295;
138,12832,1702,21.8,61.3,16.9,3792,721;
139,5425,1852,19.9,59.9,20.3,2764,381;
140,1896,173,20.9,61.0,18.0,568,176;
141,17340,3153,18.8,62.9,18.2,6496,1202;
142,20967,1206,19.8,61.4,18.8,8650,1467;
151,5325,1843,22.3,59.0,18.7,2055,454;
152,6148,685,21.5,58.9,19.6,1319,412;
153,8119,667,21.8,60.1,18.2,2971,571;
154,13518,1095,19.2,56.9,23.9,5852,1187;
155,10470,2195,22.1,57.8,20.1,4607,670;
156,12816,1073,19.8,58.7,21.5,5999,1030;
157,4557,747,22.4,65.0,12.6,2091,278;
158,13876,1617,19.6,59.4,21.0,5428,1015;
159,5931,1714,22.9,58.6,18.4,1523,315;
160,5167,945,21.0,53.5,25.5,1656,355;
161,12163,1547,18.6,56.2,25.3,5646,1101;
171,4224,203,22.4,62.3,15.2,1658,325;
172,6234,658,21.5,66.1,12.4,3640,429;
173,3508,270,24.5,64.2,11.3,852,257;
174,16117,637,19.5,62.1,18.4,6485,993;
175,405,53,23.2,66.4,10.4,264,39;
176,5212,435,23.0,63.0,14.0,2650,297;
177,11027,564,19.9,62.0,18.1,5076,745;
178,4132,291,21.0,61.5,17.5,1203,274;
179,349,40,21.8,58.7,19.5,91,42;
180,3176,248,23.6,60.5,15.9,878,235;
181,1947,212,20.5,63.6,15.8,581,179;
182,1005,95,22.6,63.4,14.0,214,70;
191,25341,1861,19.3,64.2,16.6,20235,1728;
192,8305,573,21.1,60.1,18.8,2397,543;
193,8072,1265,20.9,61.2,17.9,2886,450;
194,5226,2253,21.8,59.2,18.9,1644,203;
195,9634,652,21.3,59.7,19.0,2287,675;
196,3447,454,19.7,61.8,18.5,1497,266;
197,4743,1790,20.1,63.6,16.3,3003,280;
198,32748,1148,20.7,63.2,16.1,16247,2227;
199,17768,1266,22.4,63.8,13.8,10602,1194;
200,7578,957,21.9,66.6,11.5,5508,534;
211,619,80,21.0,62.4,16.6,154,58;
212,1055,109,22.0,64.4,13.6,244,93;
213,1989,301,21.1,60.6,18.3,370,138;
214,986,124,24.0,63.6,12.4,272,86;
215,748,259,24.1,62.0,13.9,118,45;
216,1451,206,23.2,57.8,19.0,334,104;
217,4034,259,21.9,60.5,17.6,1517,278;
218,916,182,24.6,62.7,12.8,583,65;
219,3355,416,21.3,62.2,16.6,1229,234;
220,1103,136,21.2,68.4,10.4,208,74;
221,2995,508,26.8,56.9,16.2,688,152;
222,482,55,27.6,60.2,12.2,110,46;
223,5425,361,23.8,63.4,12.7,1552,361;
224,3386,680,21.9,64.8,13.3,961,167;
225,2551,422,23.7,58.8,17.5,454,149;
226,738,82,27.6,58.5,13.8,150,59;
227,7136,943,19.3,59.7,21.0,2615,403;
228,4301,171,22.5,62.6,15.0,1460,340;
229,4929,522,23.3,57.9,18.8,1033,255;
230,104468,1535,19.6,64.1,16.3,64016,6833;
