location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature,Precipitation Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,mm,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Minimum,Maximum,Mean,Summation,Minimum,Maximum,Mean,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m]
20200301T0000,5.3905287,13.240529,8.877195,2.4999998,8.855546,31.799946,17.931227,239.96172
20200302T0000,3.0305285,11.390529,6.667196,3,6.080693,22.953726,12.518956,228.52669
20200303T0000,0.93052864,8.100529,4.7971954,1,4.7952,29.475445,16.910254,278.29636
20200304T0000,2.3605285,10.440529,6.6342793,0,0.2664,15.508508,7.970556,263.0941
20200305T0000,5.5705285,11.570529,7.923862,12.8,6.579594,24.20871,14.657696,205.45917
20200306T0000,4.0305285,7.8805285,6.1151123,0.5,16.06372,34.183384,25.962214,250.75542
20200307T0000,2.7005286,8.500529,5.320945,0,4.5833187,17.691046,11.722034,281.5033
20200308T0000,1.3705287,13.410529,7.1592784,0,1.6204481,13.8758335,6.1357646,211.48567
20200309T0000,3.8305285,9.500529,7.246362,1.5,5.2744513,17.866682,12.021793,271.50305
20200310T0000,2.5005286,10.620529,6.7405295,7.2000003,6.0748544,15.517657,10.774529,222.89514
20200311T0000,10.040529,17.06053,13.045529,0,4.552245,22.423538,14.108218,255.51823
20200312T0000,9.510529,16.610529,12.798447,0,4.212154,22.535612,13.654542,271.07538
20200313T0000,4.5905285,11.460529,8.402612,0.1,3.2189233,15.941764,10.967887,284.56714
20200314T0000,4.8205285,12.140529,8.425112,0,1.0983953,6.791894,3.8537247,35.819443
20200315T0000,1.3805287,16.40053,9.105113,0,0.2664,12.426925,6.6090617,127.26987
20200316T0000,4.040529,17.270529,11.346362,0,1.0656,7.038205,3.664812,113.505745
20200317T0000,9.510529,17.090528,13.288863,0,1.4346079,8.014169,4.6543117,332.98737
20200318T0000,8.3005295,18.87053,13.46553,0,1.332,7.2713056,3.5387332,27.149673
20200319T0000,9.990529,19.020529,14.525947,0,1.191377,4.00487,3.0273905,70.2011
20200320T0000,10.910529,17.15053,13.60553,2.1000001,0.5956885,8.578742,3.7720716,206.56505
20200321T0000,5.8305287,11.380529,9.22428,0,1.0656,15.205816,7.151028,12.69957
20200322T0000,2.1205285,11.940529,6.227612,0,17.057924,26.9064,21.859118,89.70901
20200323T0000,-1.7494713,10.110529,3.2355292,0,14.652,25.686543,19.82279,94.53421
20200324T0000,-1.0994713,9.900529,3.800945,0,8.935328,24.5088,17.313248,93.62008
20200325T0000,-2.4594715,10.160529,3.3917787,0,1.1302395,20.387869,8.057275,67.99072
20200326T0000,-1.2494713,11.690529,4.5951123,0,1.4346079,13.314671,6.519413,40.145416
20200327T0000,0.73052865,13.590529,6.927195,0,0.5956885,12.222506,5.077591,332.90445
20200328T0000,6.2105284,15.920529,10.473862,0,1.5533656,8.466325,4.4096794,327.65942
20200329T0000,3.1705287,10.010529,5.1809454,2.9,1.8648,21.006784,14.779794,352.7807
20200330T0000,0.9605287,8.940529,4.8755283,0.4,4.212154,22.077473,14.858918,56.04389
20200331T0000,-1.6994714,10.730529,4.0613627,0,0.2664,15.298875,7.60738,83.729904
20200401T0000,-1.3794713,11.360529,5.095112,0,1.8648,7.237064,4.77478,57.011467
20200402T0000,-0.30947134,14.090529,7.542196,0,0.84243083,13.322664,6.669102,271.22632
20200403T0000,2.7805285,12.880529,7.808445,0,1.8837326,9.824346,5.8885913,322.0561
20200404T0000,2.9305286,16.850529,9.871362,0,0.79920006,9.35819,4.0047975,87.67219
