location,Zurich,Zurich,Zurich,Zurich,Zurich,Zurich,Zurich,Zurich
lat,47.37446,47.37446,47.37446,47.37446,47.37446,47.37446,47.37446,47.37446
lon,8.5471,8.5471,8.5471,8.5471,8.5471,8.5471,8.5471,8.5471
asl,476.125,476.125,476.125,476.125,476.125,476.125,476.125,476.125
variable,Temperature,Temperature,Temperature,Precipitation Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,mm,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Minimum,Maximum,Mean,Summation,Minimum,Maximum,Mean,None
timestamp,Zurich Temperature [2 m elevation corrected],Zurich Temperature [2 m elevation corrected],Zurich Temperature [2 m elevation corrected],Zurich Precipitation Total,Zurich Wind Speed [10 m],Zurich Wind Speed [10 m],Zurich Wind Speed [10 m],Zurich Wind Direction Dominant [10 m]
20200321T0000,4.5663137,10.766314,8.178398,0,0.5956885,20.024351,11.925842,54.145622
20200322T0000,0.61631346,10.756313,5.5646477,0,16.039404,31.622026,22.330032,63.14171
20200323T0000,-2.8836865,8.476314,2.013397,0,18.36615,28.747757,21.71418,66.886116
20200324T0000,-3.2536864,8.176313,2.026313,0,12.161386,27.13098,19.344595,66.662994
20200325T0000,-3.1636865,8.736314,2.2379801,0,10.788378,22.518286,16.627468,60.55458
20200326T0000,-2.9236865,10.786313,3.70423,0,3.700947,16.721773,9.860966,48.63443
20200327T0000,-0.62368655,14.386313,6.841313,0,0.79920006,9.232211,4.070029,29.24881
20200328T0000,4.0063133,14.596313,9.490896,0,1.332,6.9468617,2.7247088,250.48413
20200329T0000,2.0363135,9.186314,5.96673,4.2000003,1.9210378,18.649902,9.7905035,11.531616
20200330T0000,-1.0736865,7.0663137,2.93048,0.6,11.797039,34.87704,24.842865,56.431656
20200331T0000,-3.2336864,8.866314,2.7333968,0,7.835059,20.39483,13.529662,66.62179
20200401T0000,-2.7236865,11.096313,4.25423,0,2.2916594,10.389601,5.0491757,54.73027
20200402T0000,0.40631348,13.436314,7.3279796,0,0.79920006,11.131568,5.605221,265.57944
20200403T0000,1.6063135,12.926313,7.88423,0,2.1477854,9.549612,4.948121,281.19043
20200404T0000,1.8263135,16.016314,9.1500635,0,0.5956885,13.35193,6.122656,65.35448
