ID-Bfs (Home), ID-BfS (Work),Canton(Work), #Commuters;
1,1,1,147;
1,2,1,106;
1,3,1,5;
1,4,1,7;
1,5,1,8;
1,9,1,8;
1,13,1,14;
1,14,1,6;
1,62,1,10;
1,66,1,9;
1,96,1,5;
1,131,1,19;
1,133,1,9;
1,135,1,9;
1,139,1,6;
1,141,1,9;
1,142,1,5;
1,191,1,6;
1,242,1,6;
1,243,1,9;
1,247,1,11;
1,248,1,8;
1,250,1,11;
1,261,1,352;
1,7777,1,38;
1,7777,2,6;
1,1061,3,9;
1,7777,3,14;
1,7777,5,8;
1,1701,9,46;
1,1702,9,7;
1,1707,9,7;
1,1708,9,22;
1,1711,9,48;
1,7777,9,5;
1,7777,19,34;
1,7777,77,11;
2,1,1,66;
2,2,1,1972;
2,3,1,31;
2,4,1,29;
2,5,1,166;
2,6,1,9;
2,7,1,18;
2,9,1,151;
2,10,1,58;
2,11,1,48;
2,12,1,6;
2,13,1,19;
2,14,1,43;
2,52,1,8;
2,54,1,9;
2,62,1,40;
2,66,1,25;
2,69,1,30;
2,83,1,6;
2,96,1,18;
2,97,1,10;
2,131,1,68;
2,133,1,19;
2,135,1,24;
2,136,1,11;
2,137,1,7;
2,138,1,13;
2,139,1,6;
2,141,1,14;
2,142,1,21;
2,154,1,9;
2,156,1,6;
2,161,1,7;
2,172,1,6;
2,191,1,28;
2,198,1,9;
2,199,1,13;
2,200,1,9;
2,230,1,10;
2,242,1,25;
2,243,1,64;
2,244,1,9;
2,247,1,130;
2,248,1,13;
2,250,1,36;
2,261,1,1391;
2,7777,1,70;
2,351,2,17;
2,7777,2,5;
2,1024,3,13;
2,1031,3,5;
2,1040,3,5;
2,1052,3,6;
2,1054,3,12;
2,1059,3,11;
2,1061,3,44;
2,1065,3,15;
2,7777,3,29;
2,1322,5,13;
2,1331,5,7;
2,1372,5,11;
2,7777,5,12;
2,1701,9,152;
2,1702,9,83;
2,1703,9,30;
2,1704,9,8;
2,1705,9,5;
2,1707,9,43;
2,1708,9,74;
2,1711,9,267;
2,7777,9,6;
2,7777,11,12;
2,2701,12,12;
2,7777,13,12;
2,3340,17,8;
2,7777,17,10;
2,4001,19,8;
2,4003,19,6;
2,4021,19,30;
2,4034,19,5;
2,4040,19,14;
2,4045,19,9;
2,4061,19,11;
2,4063,19,7;
2,4071,19,13;
2,4073,19,9;
2,4080,19,10;
2,4082,19,9;
2,4201,19,6;
2,4234,19,51;
2,4236,19,55;
2,4239,19,6;
2,7777,19,66;
2,7777,20,8;
2,7777,77,24;
3,2,1,124;
3,3,1,348;
3,4,1,9;
3,5,1,36;
3,9,1,12;
3,10,1,8;
3,13,1,28;
3,14,1,62;
3,62,1,21;
3,66,1,23;
3,69,1,29;
3,96,1,10;
3,97,1,6;
3,131,1,33;
3,133,1,15;
3,135,1,15;
3,136,1,8;
3,139,1,8;
3,141,1,16;
3,142,1,14;
3,154,1,12;
3,161,1,11;
3,191,1,15;
3,199,1,9;
3,200,1,5;
3,230,1,9;
3,242,1,86;
3,243,1,51;
3,247,1,52;
3,248,1,5;
3,250,1,87;
3,261,1,1240;
3,7777,1,89;
3,351,2,13;
3,1024,3,10;
3,1061,3,14;
3,7777,3,16;
3,1322,5,5;
3,1323,5,6;
3,7777,5,8;
3,1701,9,24;
3,1702,9,15;
3,1707,9,14;
3,1708,9,15;
3,1711,9,51;
3,2701,12,6;
3,7777,13,6;
3,3203,17,5;
3,7777,17,6;
3,4001,19,6;
3,4021,19,18;
3,4040,19,6;
3,4045,19,6;
3,4061,19,6;
3,4063,19,8;
3,4071,19,5;
3,4234,19,7;
3,4236,19,6;
3,7777,19,43;
3,7777,77,24;
4,1,1,19;
4,2,1,82;
4,4,1,398;
4,5,1,8;
4,6,1,29;
4,9,1,29;
4,10,1,11;
4,11,1,5;
4,12,1,12;
4,13,1,18;
4,62,1,12;
4,66,1,5;
4,69,1,9;
4,131,1,37;
4,133,1,31;
4,135,1,14;
4,136,1,15;
4,139,1,8;
4,141,1,18;
4,142,1,17;
4,191,1,9;
4,243,1,13;
4,247,1,11;
4,261,1,396;
4,7777,1,65;
4,7777,2,8;
4,1061,3,22;
4,7777,3,28;
4,1322,5,7;
4,1323,5,5;
4,1344,5,8;
4,7777,5,16;
4,7777,7,7;
4,1701,9,166;
4,1702,9,38;
4,1703,9,8;
4,1704,9,6;
4,1705,9,7;
4,1707,9,16;
4,1708,9,60;
4,1709,9,5;
4,1711,9,110;
4,2701,12,7;
4,3340,17,5;
4,4021,19,5;
4,4236,19,7;
4,7777,19,22;
4,7777,77,16;
5,1,1,10;
5,2,1,191;
5,3,1,25;
5,5,1,308;
5,9,1,17;
5,10,1,16;
5,11,1,9;
5,13,1,9;
5,14,1,16;
5,62,1,27;
5,66,1,12;
5,69,1,14;
5,131,1,18;
5,133,1,9;
5,135,1,10;
5,139,1,6;
5,141,1,11;
5,191,1,16;
5,198,1,7;
5,230,1,8;
5,241,1,5;
5,242,1,11;
5,243,1,31;
5,245,1,5;
5,247,1,55;
5,248,1,6;
5,250,1,24;
5,261,1,742;
5,7777,1,68;
5,7777,2,9;
5,1061,3,29;
5,1065,3,7;
5,7777,3,13;
5,1372,5,5;
5,7777,5,9;
5,1701,9,26;
5,1702,9,15;
5,1707,9,15;
5,1708,9,14;
5,1711,9,53;
5,7777,9,8;
5,7777,17,6;
5,7777,18,5;
5,4021,19,11;
5,4040,19,6;
5,4063,19,6;
5,4071,19,5;
5,4234,19,11;
5,4236,19,5;
5,7777,19,42;
5,7777,77,18;
6,2,1,24;
6,4,1,17;
6,5,1,7;
6,6,1,122;
6,9,1,7;
6,12,1,5;
6,69,1,5;
6,131,1,6;
6,142,1,5;
6,242,1,5;
6,247,1,7;
6,261,1,76;
6,7777,1,32;
6,1061,3,6;
6,7777,3,12;
6,7777,5,8;
6,1701,9,64;
6,1702,9,10;
6,1703,9,6;
6,1704,9,5;
6,1707,9,14;
6,1708,9,30;
6,1711,9,53;
6,7777,9,6;
6,7777,19,15;
