Canton(Work),Country(Home),#Commuters;
Zürich,Deutschland,8541,8;
Zürich,Frankreich,930,3;
Zürich,Italien,192,1;
Zürich,Liechtenstein,84,6;
Zürich,Oesterreich,279,1;
Bern,Deutschland,617,0;
Bern,Frankreich,2705,2;
Bern,Italien,104,5;
Bern,Liechtenstein,9,1;
Bern,Oesterreich,34,6;
Luzern,Deutschland,347,9;
Luzern,Frankreich,162,9;
Luzern,Italien,56,0;
Luzern,Liechtenstein,2,7;
Luzern,Oesterreich,25,6;
Uri,Deutschland,19,3;
Uri,Frankreich,2,0;
Uri,Italien,23,3;
Uri,Liechtenstein,0,0;
Uri,Oesterreich,0,7;
Schwyz,Deutschland,180,8;
Schwyz,Frankreich,37,0;
Schwyz,Italien,37,1;
Schwyz,Liechtenstein,1,6;
Schwyz,Oesterreich,27,6;
Obwalden,Deutschland,78,8;
Obwalden,Frankreich,15,2;
Obwalden,Italien,16,4;
Obwalden,Liechtenstein,0,0;
Obwalden,Oesterreich,3,8;
Nidwalden,Deutschland,26,6;
Nidwalden,Frankreich,9,8;
Nidwalden,Italien,11,4;
Nidwalden,Liechtenstein,0,0;
Nidwalden,Oesterreich,24,5;
Glarus,Deutschland,27,1;
Glarus,Frankreich,11,4;
Glarus,Italien,8,9;
Glarus,Liechtenstein,8,7;
Glarus,Oesterreich,4,7;
Zug,Deutschland,485,0;
Zug,Frankreich,261,6;
Zug,Italien,107,7;
Zug,Liechtenstein,6,5;
Zug,Oesterreich,46,6;
Fribourg,Deutschland,43,2;
Fribourg,Frankreich,911,6;
Fribourg,Italien,28,9;
Fribourg,Liechtenstein,1,4;
Fribourg,Oesterreich,0,8;
Solothurn,Deutschland,920,9;
Solothurn,Frankreich,1149,0;
Solothurn,Italien,47,2;
Solothurn,Liechtenstein,1,3;
Solothurn,Oesterreich,13,7;
Basel-Stadt,Deutschland,15960,5;
Basel-Stadt,Frankreich,17579,3;
Basel-Stadt,Italien,55,9;
Basel-Stadt,Liechtenstein,2,7;
Basel-Stadt,Oesterreich,32,6;
Basel-Landschaft,Deutschland,9485,3;
Basel-Landschaft,Frankreich,12404,7;
Basel-Landschaft,Italien,25,6;
Basel-Landschaft,Liechtenstein,5,4;
Basel-Landschaft,Oesterreich,16,5;
Schaffhausen,Deutschland,4846,0;
Schaffhausen,Frankreich,28,0;
Schaffhausen,Italien,7,0;
Schaffhausen,Liechtenstein,2,2;
Schaffhausen,Oesterreich,15,5;
Appenzell Ausserrhoden,Deutschland,128,8;
Appenzell Ausserrhoden,Frankreich,11,1;
Appenzell Ausserrhoden,Italien,6,2;
Appenzell Ausserrhoden,Liechtenstein,8,5;
Appenzell Ausserrhoden,Oesterreich,228,8;
Appenzell Innerrhoden,Deutschland,31,5;
Appenzell Innerrhoden,Frankreich,0,9;
Appenzell Innerrhoden,Italien,0,0;
Appenzell Innerrhoden,Liechtenstein,1,6;
Appenzell Innerrhoden,Oesterreich,64,8;
St. Gallen,Deutschland,1910,1;
St. Gallen,Frankreich,74,3;
St. Gallen,Italien,46,9;
St. Gallen,Liechtenstein,309,8;
St. Gallen,Oesterreich,6712,5;
Graubünden,Deutschland,158,1;
Graubünden,Frankreich,12,1;
Graubünden,Italien,6391,0;
Graubünden,Liechtenstein,45,3;
Graubünden,Oesterreich,377,3;
Aargau,Deutschland,11561,6;
Aargau,Frankreich,2052,4;
Aargau,Italien,114,8;
Aargau,Liechtenstein,3,8;
Aargau,Oesterreich,53,2;
Thurgau,Deutschland,5074,1;
Thurgau,Frankreich,43,7;
Thurgau,Italien,23,1;
Thurgau,Liechtenstein,24,5;
Thurgau,Oesterreich,256,9;
Ticino,Deutschland,45,5;
Ticino,Frankreich,46,7;
Ticino,Italien,67723,6;
Ticino,Liechtenstein,0,8;
Ticino,Oesterreich,9,5;
Vaud,Deutschland,36,2;
Vaud,Frankreich,32206,9;
Vaud,Italien,108,2;
Vaud,Liechtenstein,1,9;
Vaud,Oesterreich,2,9;
Wallis,Deutschland,24,6;
Wallis,Frankreich,1587,2;
Wallis,Italien,1460,4;
Wallis,Liechtenstein,0,0;
Wallis,Oesterreich,1,7;
Neuchâtel,Deutschland,14,4;
Neuchâtel,Frankreich,12912,2;
Neuchâtel,Italien,8,9;
Neuchâtel,Liechtenstein,0,0;
Neuchâtel,Oesterreich,0,8;
Genève,Deutschland,61,8;
Genève,Frankreich,86535,1;
Genève,Italien,218,5;
Genève,Liechtenstein,0,8;
Genève,Oesterreich,6,9;
Jura,Deutschland,14,9;
Jura,Frankreich,8620,2;
Jura,Italien,3,1;
Jura,Liechtenstein,0,5;
Jura,Oesterreich,0,8;
