Kantonskürzel,ID-BfS,PLZ,Name,CoordinateEast,CoordinateNord,Kanton_ID,Kanton_Name;
AG,4001,5004,Aarau,2646950.666,1250196.996,19,Aargau;
AG,4002,5023,Biberstein,2648495.974,1251881.034,19,Aargau;
AG,4001,5000,Aarau,2646060.838,1248866.143,19,Aargau;
AG,4023,8962,Bergdietikon,2671102.459,1249307.424,19,Aargau;
AG,4026,5408,Ennetbaden,2666733.796,1259241.444,19,Aargau;
AG,4004,5026,Densbüren,2646472.906,1255968.07,19,Aargau;
AG,4006,5722,Gränichen,2650127.634,1245284.553,19,Aargau;
AG,4007,5042,Hirschthal,2646705.596,1241054.115,19,Aargau;
AG,4008,5024,Küttigen,2645974.92,1251535.766,19,Aargau;
AG,4009,5037,Muhen,2646310.636,1242865.78,19,Aargau;
AG,4010,5036,Oberentfelden,2644962.431,1245409.821,19,Aargau;
AG,4012,5034,Suhr,2648142.56,1247124.266,19,Aargau;
AG,4013,5035,Unterentfelden,2645298.146,1246711.166,19,Aargau;
AG,4021,5400,Baden,2665611.856,1258347.229,19,Aargau;
AG,4021,5404,Baden,2663319.484,1256307.49,19,Aargau;
AG,4022,5454,Bellikon,2668463.887,1249326.122,19,Aargau;
AG,4040,8957,Spreitenbach,2669953.129,1252195.512,19,Aargau;
AG,4042,5300,Turgi,2661423.369,1260315.045,19,Aargau;
AG,4044,5417,Untersiggenthal,2661873.168,1261938.878,19,Aargau;
AG,4045,5430,Wettingen,2667237.462,1257830.113,19,Aargau;
AG,4046,5512,Wohlenschwil,2661741.226,1251607.48,19,Aargau;
AG,4047,5303,Würenlingen,2661749.518,1264711.363,19,Aargau;
AG,4048,5436,Würenlos,2669864.218,1255078.026,19,Aargau;
AG,4049,5420,Ehrendingen,2668079.586,1261120.383,19,Aargau;
AG,4062,8965,Berikon,2670885.579,1244955.744,19,Aargau;
AG,4065,5605,Dottikon,2660588.599,1248401.929,19,Aargau;
AG,4066,5445,Eggenwil,2668021.176,1246648.346,19,Aargau;
AG,4067,5525,Fischbach-Göslikon,2665899.496,1246841.485,19,Aargau;
AG,4068,5607,Hägglingen,2661571.294,1248840.87,19,Aargau;
AG,4071,8916,Jonen,2672371.763,1238764.649,19,Aargau;
