ID-BFS,Population,PopulationDensity,Age0-19,Age20-64,Age65+,Households,HousholdSize,Workers,Workplaces;
1,1982,251,19.7,62.8,17.6,835,2.4,440,143;
2,12229,1155,20.5,61.3,18.2,5348,2.2,6704,985;
3,5548,747,23.7,60.3,16.0,2325,2.4,996,274;
4,3701,272,21.8,60.7,17.5,1546,2.4,1088,265;
5,3734,572,21.8,61.8,16.5,1540,2.4,1458,199;
6,1157,146,25.2,60.8,14.0,465,2.5,319,100;
7,2373,367,23.9,61.1,15.0,925,2.6,531,128;
8,656,140,23.0,59.8,17.2,272,2.4,162,68;
9,5094,391,22.7,59.8,17.5,2050,2.5,1654,313;
10,5599,743,23.5,59.8,16.7,2302,2.4,1239,308;
11,2555,509,19.9,59.3,20.8,1106,2.3,684,175;
12,1123,173,27.9,56.5,15.6,442,2.5,255,88;
13,3680,306,20.7,62.9,16.4,1525,2.4,772,193;
14,5188,1376,23.2,56.8,19.9,2153,2.4,1304,300;
21,707,107,20.9,62.7,16.4,280,2.5,147,67;
22,855,151,20.5,64.3,15.2,361,2.4,271,71;
23,570,81,14.4,60.5,25.1,250,2.3,128,49;
24,977,96,25.7,60.1,14.2,371,2.6,199,75;
25,1920,711,21.5,58.3,20.2,782,2.4,384,107;
26,658,118,22.2,61.2,16.6,257,2.5,143,50;
27,3623,1461,20.5,62.3,17.3,1613,2.2,1073,X;
28,1414,139,21.2,61.9,16.9,593,2.4,792,147;
29,1438,597,21.0,60.8,18.2,619,2.3,397,X;
30,2215,329,23.1,57.8,19.1,925,2.4,1505,192;
31,2239,739,23.0,56.8,20.2,905,2.5,602,111;
32,487,132,23.0,55.9,21.1,184,2.6,151,42;
33,2109,205,21.8,60.8,17.4,879,2.4,1090,196;
34,1709,272,20.4,58.3,21.3,727,2.3,505,105;
35,1908,135,19.3,61.8,18.9,837,2.3,1123,209;
37,1641,125,21.1,61.2,17.7,699,2.3,417,103;
38,1333,149,18.5,61.6,19.9,596,2.2,656,X;
39,917,142,21.8,61.3,16.9,386,2.4,257,73;
40,1066,112,19.9,56.5,23.6,471,2.3,311,95;
41,477,108,24.3,57.7,18.0,181,2.6,102,37;
43,362,113,26.8,61.9,11.3,149,2.4,105,X;
51,4165,966,20.8,58.8,20.4,1778,2.3,1836,X;
52,11687,1294,20.9,63.0,16.1,4950,2.3,4388,635;
53,20447,1271,20.7,62.4,16.9,8889,2.3,10722,1245;
54,7776,1830,20.2,59.3,20.4,3451,2.2,6193,X;
55,5217,576,22.6,60.6,16.9,2131,2.4,1560,325;
56,9440,744,21.7,62.1,16.2,3910,2.4,3537,484;
57,2371,282,19.7,61.7,18.6,977,2.4,662,157;
58,5200,423,22.1,63.8,14.1,2171,2.4,1071,256;
59,1931,313,23.0,60.1,16.9,782,2.5,398,87;
60,2845,594,19.9,65.5,14.6,1156,2.4,1244,207;
61,1031,210,20.8,60.4,18.8,420,2.4,325,90;
62,19679,1021,18.8,65.0,16.1,9003,2.2,36939,1492;
63,2401,464,23.5,65.2,11.2,944,2.5,377,108;
64,5629,561,18.9,60.2,20.9,2454,2.3,1027,301;
65,1073,105,17.9,62.5,19.6,478,2.2,246,91;
66,20361,3642,20.1,68.1,11.8,9221,2.2,19059,1351;
67,4576,428,20.9,62.2,16.8,1925,2.4,1427,243;
68,2830,637,24.0,63.7,12.4,1128,2.5,498,156;
