BfS-ID,K-ID,K-Kürz,Population,PopulationDensity,Age0-19,Age20-64,Age65+,Workers,Workplaces;
1,1,ZH,1955,247.16,21.64,63.02,15.35,446.44,135;
2,1,ZH,11276,1062.77,21.03,63.04,15.94,5969.28,890;
3,1,ZH,5205,700.54,24.57,62.29,13.14,973.45,265;
4,1,ZH,3376,247.87,23.02,61.43,15.55,966.64,243;
5,1,ZH,3511,537.67,24.10,62.09,13.81,1532.45,197;
6,1,ZH,922,116.56,24.95,61.17,13.88,257.95,91;
7,1,ZH,1982,306.34,23.21,62.46,14.33,481.82,118;
8,1,ZH,641,136.67,24.65,60.22,15.13,132.74,47;
9,1,ZH,4420,339.74,22.74,62.96,14.30,1526.56,276;
10,1,ZH,4833,640.13,23.42,61.56,15.02,1237.05,299;
11,1,ZH,2480,495.01,21.17,63.55,15.28,775.30,168;
12,1,ZH,957,147,26.44,60.82,12.75,251.50,81;
13,1,ZH,3309,274.83,20.34,64.52,15.14,871.06,183;
14,1,ZH,4579,1217.82,21.69,57.87,20.44,949.45,270;
21,1,ZH,561,85.13,19.25,63.28,17.47,174.18,60;
22,1,ZH,823,145.41,19.32,66.83,13.85,247.57,74;
23,1,ZH,587,83.62,16.70,64.91,18.40,164.02,59;
24,1,ZH,899,87.62,25.14,62.51,12.35,184.18,64;
25,1,ZH,1960,723.25,25.20,57.70,17.09,409.11,102;
26,1,ZH,634,114.23,24.61,61.04,14.35,185.47,44;
27,1,ZH,3464,1396.77,19.98,63.37,16.66,1057.54,163;
28,1,ZH,1331,130.88,22.24,61.68,16.08,730.59,139;
29,1,ZH,1414,584.30,21.43,62.38,16.20,482.57,110;
30,1,ZH,2063,306.99,22.54,58.22,19.24,1339.17,178;
31,1,ZH,2254,741.45,25.60,58.74,15.66,586.50,113;
32,1,ZH,483,131.25,26.29,54.24,19.46,171.50,34;
33,1,ZH,2013,195.06,23.20,61.60,15.20,946.24,178;
34,1,ZH,1558,248.48,21.05,58.15,20.80,361.73,88;
35,1,ZH,1968,139.08,21.54,62.86,15.60,1026.99,196;
36,1,ZH,1130,119.96,22.12,61.15,16.73,400.90,106;
37,1,ZH,1348,102.90,24.33,59.12,16.54,483.94,110;
38,1,ZH,1345,150.78,19.85,63.12,17.03,438.97,69;
39,1,ZH,899,139.38,24.14,62.07,13.79,241.86,65;
40,1,ZH,988,103.56,19.23,61.44,19.33,322.11,95;
41,1,ZH,464,105.22,26.29,57.76,15.95,88.70,40;
42,1,ZH,867,119.59,25.37,58.25,16.38,397.69,85;
43,1,ZH,310,96.88,25.48,61.29,13.23,113.56,28;
44,1,ZH,675,92.72,23.26,61.78,14.96,241.28,78;
