BfS-ID,1P,2P,3P,4P,5P,6+P;
1,222,273,112,127,50,12;
2,1.589,1.657,632,613,237,134;
3,609,778,308,387,98,23;
4,385,516,196,230,66,25;
5,405,531,204,268,71,20;
6,123,138,49,67,29,8;
7,207,277,131,137,46,15;
8,80,81,32,53,16,5;
9,445,659,260,324,91,17;
10,537,693,294,324,118,32;
11,265,438,137,171,44,10;
12,99,124,48,79,26,10;
13,354,557,216,206,46,18;
14,507,745,265,341,73,25;
21,53,102,37,33,15,5;
22,95,139,49,49,14,5;
23,63,107,33,36,8,3;
24,70,134,51,54,27,11;
25,180,284,95,161,48,11;
26,41,95,40,48,17,3;
27,542,519,214,215,57,11;
28,156,199,79,95,25,9;
29,176,222,82,91,24,8;
30,238,324,125,133,47,17;
31,222,340,109,164,61,12;
32,26,75,16,37,15,7;
33,223,339,119,131,38,12;
34,204,264,81,103,36,8;
35,232,302,131,109,41,15;
36,132,207,49,62,31,8;
37,154,207,78,73,43,10;
38,223,184,76,72,23,10;
39,96,140,50,49,25,10;
40,124,189,40,50,26,9;
41,40,51,33,30,10,8;
42,99,116,46,44,26,17;
43,37,51,15,19,10,4;
44,62,108,45,39,16,3;
51,485,628,235,259,72,32;
52,1.385,1.639,704,737,189,98;
53,2.737,2.893,1.101,1.090,329,123;
54,1.121,1.250,406,401,123,65;
55,529,720,325,313,98,38;
56,992,1.276,535,554,202,92;
57,227,380,134,137,49,17;
58,558,699,275,333,82,36;
59,189,277,121,146,45,15;
60,280,358,163,163,55,32;
61,83,163,57,75,21,5;
62,3.089,2.807,1.161,899,320,118;
63,172,266,121,147,41,7;
64,673,950,310,313,75,32;
65,133,213,43,61,19,8;
66,2.909,2.352,1.041,809,351,185;
67,465,632,260,264,94,29;
68,285,341,188,167,69,22;
69,2.440,2.422,924,778,261,83;
70,71,98,28,38,6,5;
71,158,215,77,79,34,6;
72,541,709,253,247,62,21;
81,57,93,41,30,14,6;
82,135,208,59,102,24,4;
83,794,858,406,361,120,53;
84,506,568,242,255,65,26;
85,174,267,135,143,37,11;
86,776,928,379,350,92,40;
87,61,108,55,38,9,4;
88,352,594,187,150,46,9;
89,607,660,301,286,89,38;
90,1.039,1.290,579,585,193,51;
91,267,381,169,206,70,23;
92,945,880,393,361,154,76;
93,166,294,119,106,35,15;
94,253,397,202,184,55,17;
95,84,87,31,20,9,2;
96,2.393,2.557,1.053,1.020,334,138;
97,1.128,1.065,470,428,136,60;
98,85,105,39,54,16,3;
99,160,225,90,80,24,8;
100,262,347,125,136,36,12;
101,511,590,195,177,50,18;
102,113,203,67,59,15,17;
111,515,784,289,286,115,44;
112,701,1.062,388,470,136,58;
113,793,1.035,394,466,176,79;
114,220,311,137,132,66,24;
115,1.098,1.548,531,590,211,74;
116,401,544,190,197,77,18;
117,1.459,1.762,595,584,207,94;
118,1.839,1.651,663,677,229,113;
119,137,207,104,77,32,10;
120,1.360,1.364,549,537,180,84;
121,3.454,3.529,1.409,1.312,450,201;
131,3.123,2.822,1.115,988,277,116;
132,196,301,129,151,50,12;
133,2.802,2.958,1.199,1.200,345,126;
